314.35922 321.11578 221.94202,312.8795 319.88306 221.70822,310.84988 318.6287 221.76218
258.3718 138.99161 267.05594,258.2004 139.52194 265.985,257.76767 139.58208 265.0372
264.90405 334.01334 124.63575,264.51297 333.13327 126.43972,263.58463 332.1652 128.2102
0.0 0.0 0.0,300.54987 136.71548 292.9846,300.05133 137.64769 291.9824
0.0 0.0 0.0,270.56317 114.32462 224.99007,270.25815 116.656006 224.80922
0.0 0.0 0.0,385.83075 140.61774 317.92032,386.60004 139.04552 318.85324
301.78387 184.25572 211.7497,300.81073 184.55458 211.24625,299.95074 184.7815 210.86636
278.9294 319.80536 116.74199,277.75015 319.51462 117.70196,276.44748 319.20377 118.45419
0.0 0.0 0.0,246.78322 159.62631 212.23438,246.07515 158.07414 212.21384
322.8707 356.5145 299.23172,322.00928 355.67368 298.36575,321.2034 355.0143 297.33194
318.18286 186.47507 325.06366,317.6239 186.50461 323.8683,317.11945 186.6542 322.72607
0.0 0.0 0.0,290.36816 126.76425 264.28433,290.24106 128.73372 264.57837
246.07515 158.07414 212.21384,245.68227 156.30081 212.25928,244.58774 154.8846 212.2411
309.67038 352.49945 138.41391,309.2707 352.30603 138.99522,309.05905 352.17633 139.58919
307.84796 351.92267 143.55167,307.70358 351.9006 144.3956,307.2914 351.64236 145.24567
272.7872 357.27255 267.63458,272.07175 356.14603 266.0883,270.4169 355.18414 264.7543
329.39697 168.47932 312.44754,328.4929 168.52032 311.44205,327.87766 168.48651 310.28485
0.0 0.0 0.0,302.59497 151.85486 181.70703,301.81604 152.76671 182.30135
0.0 0.0 0.0,301.43533 157.53702 245.9027,300.11575 159.01828 245.93307
269.00064 129.17116 230.76799,268.85928 128.17152 230.1231,268.48828 127.376045 228.6926
265.01306 370.17834 250.08029,265.0171 368.9537 249.68555,264.58536 367.5668 249.47896
274.82986 337.85202 133.88304,272.93607 336.10062 135.23615,272.08194 334.1555 136.33907
246.82129 335.9828 154.7935,248.30179 337.48743 153.661,247.53032 336.80722 154.2057
236.56131 114.426285 293.03683,236.48721 113.23015 293.74878,236.41968 112.322136 294.77835
0.0 0.0 0.0,307.07425 190.38893 319.499,307.2686 190.14697 318.43253
301.49304 327.37238 175.43562,300.62073 325.5532 177.17635,299.56842 324.23663 178.48114
253.78278 198.49838 259.58185,252.66946 198.18121 257.88464,251.72414 197.92601 255.76846
283.04675 160.72952 289.9661,285.25122 162.70381 288.7984,286.7384 163.40146 286.6125
315.18558 186.68228 319.37466,314.16367 186.7125 318.07413,313.4825 186.79509 316.82083
297.89432 359.20016 259.22226,297.29062 358.00455 258.7303,296.5115 356.79974 258.15192
367.4414 164.99242 162.6466,367.18317 166.18742 162.57123,367.07858 167.42056 162.68954
320.8676 179.64615 262.25836,320.18295 179.45279 261.39835,319.6967 179.09305 260.0683
291.23434 379.60925 287.24066,290.48663 378.76352 286.5703,289.5547 377.93854 285.9175
259.65564 167.46341 88.95471,259.68573 167.61324 89.52313,259.63672 167.2836 90.038635
250.11406 125.88614 244.46935,249.40051 124.80738 244.46153,248.75464 123.69324 244.44766
0.0 0.0 0.0,288.49466 128.73018 294.7302,289.24466 127.730606 295.7306
268.82855 396.09222 286.78708,268.06036 393.5851 285.57388,267.7209 391.21667 284.05695
230.92403 132.27382 275.43686,229.85533 130.95949 276.17218,228.84296 129.79718 276.6532
264.34753 309.44666 99.22919,264.21094 309.51706 100.30008,263.6789 309.747 101.27567
0.0 0.0 0.0,303.3715 201.98639 263.52423,302.1943 201.71227 263.2808
0.0 0.0 0.0,215.79875 343.96048 208.81723,214.88197 344.7361 210.31906
292.19016 325.90845 259.17706,291.00574 325.1597 257.9125,289.84622 324.39673 256.83292
274.31937 117.168846 292.523,274.2988 115.99433 293.12234,274.02402 114.92587 293.83896
298.6536 147.66582 205.13625,297.95016 149.44168 204.65181,297.24435 151.12564 203.91919
264.9601 152.82161 242.12677,265.09747 151.78262 241.93721,265.04565 150.83961 241.87363
274.18497 146.05127 262.4218,273.87534 144.98047 262.4878,272.93903 143.92935 262.29932
313.83124 163.52705 211.35568,313.94208 164.78822 211.18921,314.1189 166.10394 211.26086
296.34384 154.3739 239.25525,294.2318 154.63937 239.5376,292.23602 154.94667 239.88463
304.48126 316.41925 308.12546,304.10004 316.32697 307.12793,303.35327 316.26038 306.2903
230.45892 375.75287 263.187,230.46306 377.0544 264.05264,229.96771 378.15207 265.00607
283.81012 334.52853 191.82545,283.77942 335.73175 191.85736,283.7683 336.7301 192.02618
269.23315 353.93204 263.32047,268.05255 352.57214 261.95468,266.97678 351.1894 260.57535
272.17413 103.34739 299.21753,271.88757 101.96936 299.43747,271.65652 100.4441 299.61093
269.95352 316.53207 128.52403,269.46017 316.54767 129.57266,268.71814 316.8591 130.57803
310.2223 352.11862 133.8142,309.97437 351.99918 134.72398,309.92297 351.88144 135.57942
287.31848 374.76917 283.59146,286.44672 373.47156 282.9356,285.83688 372.3702 281.891
298.1731 400.9553 311.0267,297.91263 399.94226 310.7609,297.79825 398.9871 309.96652
280.90515 171.22263 99.86975,279.74817 171.20665 101.55784,277.7097 169.759 104.45811
0.0 0.0 0.0,296.83475 161.41855 245.5439,296.269 163.26123 245.62137
309.00897 372.92947 277.7504,308.59875 373.7876 279.28162,308.0598 374.60434 280.8066
378.50558 157.24525 304.6984,378.0971 158.22128 304.0709,378.10464 158.88649 302.89517
318.79913 183.7767 256.17157,316.6788 183.51466 255.61658,314.03552 184.74722 255.25114
239.042 126.8387 285.48996,238.64757 126.0805 285.96405,238.56935 125.27718 286.59436
209.01878 351.63702 148.79616,208.84045 352.05048 148.59737,208.74605 352.67474 148.22536
235.32785 162.977 143.27025,235.29865 161.57808 142.87811,234.72577 160.15222 142.88249
282.3298 176.15431 169.4081,282.1681 176.27837 169.42227,281.91226 174.06163 170.18092
309.36096 372.04166 274.90738,309.0596 372.4624 276.0556,309.00897 372.92947 277.7504
191.95914 337.9342 151.21877,190.81409 338.20816 151.22021,189.73979 338.45322 151.49452
0.0 0.0 0.0,307.46228 184.36278 217.92648,305.9233 184.91231 216.38281
290.68173 149.36662 266.83893,290.11832 150.53499 266.76288,289.79156 151.5636 266.5797
327.34518 363.258 306.38486,326.6873 362.15607 305.395,326.10803 360.93896 304.48334
282.17758 153.05824 197.60645,281.85568 154.28317 197.73956,281.57266 155.65659 197.51503
235.54298 164.35094 143.8007,235.32785 162.977 143.27025,235.29865 161.57808 142.87811
188.00354 162.68117 159.47052,187.17139 162.9801 159.69714,186.13582 163.24197 159.74254
231.34859 371.877 260.83658,231.38481 372.2068 261.00464,231.25462 372.81247 261.33936
189.73979 338.45322 151.49452,188.60295 338.52197 151.44557,187.53905 338.55334 151.72891
390.2646 195.65102 238.48189,389.9557 195.47433 236.74586,389.17075 195.75609 235.36105
282.63358 172.44258 157.26703,283.06046 172.86952 158.02832,283.07748 172.95822 158.14201
